user_id,img_idx,img_title,img_url,img_create_date
1,1,활동적인 가방,https://storage.googleapis.com/prompter-ada15.appspot.com/image/1.jpg,2023-09-03 02:30:03.478209
2,2,회사원을 위한 쇼파,https://storage.googleapis.com/prompter-ada15.appspot.com/image/2.jpg,2023-09-03 02:33:06.899251
3,3,20대 지갑,https://storage.googleapis.com/prompter-ada15.appspot.com/image/3.jpg,2023-09-03 02:39:40.289629
4,4,새로운 디자인의 의자,https://storage.googleapis.com/prompter-ada15.appspot.com/image/4.jpg,2023-09-03 02:42:54.045222
5,5,유용한 책상,https://storage.googleapis.com/prompter-ada15.appspot.com/image/5.jpg,2023-09-03 02:47:26.199916
6,6,편리한 가방,https://storage.googleapis.com/prompter-ada15.appspot.com/image/6.jpg,2023-09-03 02:51:00.305509
7,7,힙한 20대 가방,https://storage.googleapis.com/prompter-ada15.appspot.com/image/7.jpg,2023-09-03 02:53:35.651346
8,8,심플한 의자,https://storage.googleapis.com/prompter-ada15.appspot.com/image/8.jpg,2023-09-03 02:56:22.356708
9,9,단색 가방,https://storage.googleapis.com/prompter-ada15.appspot.com/image/9.jpg,2023-09-03 02:59:07.394556
10,10,신박한 의자,https://storage.googleapis.com/prompter-ada15.appspot.com/image/10.jpg,2023-09-03 03:01:54.698993
11,11,도전적인 빨래건조대,https://storage.googleapis.com/prompter-ada15.appspot.com/image/11.jpg,2023-09-03 03:07:42.806384
12,12,센스있는 지갑,https://storage.googleapis.com/prompter-ada15.appspot.com/image/12.jpg,2023-09-03 03:11:27.903408
